2024-05-09 17:59:07 DEBUG BasicTypeRegistry:396 - Adding type registration short -> org.hibernate.type.BasicTypeReference@6ca67465
2024-05-09 17:59:07 DEBUG BasicTypeRegistry:396 - Adding type registration java.lang.Short -> org.hibernate.type.BasicTypeReference@6ca67465
2024-05-09 17:59:07 DEBUG BasicTypeRegistry:396 - Adding type registration integer -> org.hibernate.type.BasicTypeReference@2b3da137
2024-05-09 17:59:07 DEBUG BasicTypeRegistry:396 - Adding type registration int -> org.hibernate.type.BasicTypeReference@2b3da137
2024-05-09 17:59:07 DEBUG BasicTypeRegistry:396 - Adding type registration java.lang.Integer -> org.hibernate.type.BasicTypeReference@2b3da137
2024-05-09 17:59:07 DEBUG BasicTypeRegistry:396 - Adding type registration long -> org.hibernate.type.BasicTypeReference@12e15178
2024-05-09 17:59:07 DEBUG BasicTypeRegistry:396 - Adding type registration long -> org.hibernate.type.BasicTypeReference@12e15178
2024-05-09 17:59:07 DEBUG BasicTypeRegistry:396 - Adding type registration java.lang.Long -> org.hibernate.type.BasicTypeReference@12e15178
2024-05-09 17:59:07 DEBUG BasicTypeRegistry:396 - Adding type registration float -> org.hibernate.type.BasicTypeReference@52c5efa1
2024-05-09 17:59:07 DEBUG BasicTypeRegistry:396 - Adding type registration float -> org.hibernate.type.BasicTypeReference@52c5efa1
2024-05-09 17:59:07 DEBUG BasicTypeRegistry:396 - Adding type registration java.lang.Float -> org.hibernate.type.BasicTypeReference@52c5efa1
2024-05-09 17:59:07 DEBUG BasicTypeRegistry:396 - Adding type registration double -> org.hibernate.type.BasicTypeReference@d9facc0
2024-05-09 17:59:07 DEBUG BasicTypeRegistry:396 - Adding type registration double -> org.hibernate.type.BasicTypeReference@d9facc0
2024-05-09 17:59:07 DEBUG BasicTypeRegistry:396 - Adding type registration java.lang.Double -> org.hibernate.type.BasicTypeReference@d9facc0
2024-05-09 17:59:07 DEBUG BasicTypeRegistry:396 - Adding type registration big_integer -> org.hibernate.type.BasicTypeReference@4bed905d
2024-05-09 17:59:07 DEBUG BasicTypeRegistry:396 - Adding type registration java.math.BigInteger -> org.hibernate.type.BasicTypeReference@4bed905d
2024-05-09 17:59:07 DEBUG BasicTypeRegistry:396 - Adding type registration big_decimal -> org.hibernate.type.BasicTypeReference@539f72c9
2024-05-09 17:59:07 DEBUG BasicTypeRegistry:396 - Adding type registration java.math.BigDecimal -> org.hibernate.type.BasicTypeReference@539f72c9
2024-05-09 17:59:07 DEBUG BasicTypeRegistry:396 - Adding type registration character -> org.hibernate.type.BasicTypeReference@2eda37fc
2024-05-09 17:59:07 DEBUG BasicTypeRegistry:396 - Adding type registration char -> org.hibernate.type.BasicTypeReference@2eda37fc
2024-05-09 17:59:07 DEBUG BasicTypeRegistry:396 - Adding type registration java.lang.Character -> org.hibernate.type.BasicTypeReference@2eda37fc
2024-05-09 17:59:07 DEBUG BasicTypeRegistry:396 - Adding type registration character_nchar -> org.hibernate.type.BasicTypeReference@5e53674b
2024-05-09 17:59:07 DEBUG BasicTypeRegistry:396 - Adding type registration string -> org.hibernate.type.BasicTypeReference@799b7ba4
2024-05-09 17:59:07 DEBUG BasicTypeRegistry:396 - Adding type registration java.lang.String -> org.hibernate.type.BasicTypeReference@799b7ba4
2024-05-09 17:59:07 DEBUG BasicTypeRegistry:396 - Adding type registration nstring -> org.hibernate.type.BasicTypeReference@51ba5764
2024-05-09 17:59:07 DEBUG BasicTypeRegistry:396 - Adding type registration characters -> org.hibernate.type.BasicTypeReference@2e20ff78
2024-05-09 17:59:07 DEBUG BasicTypeRegistry:396 - Adding type registration char[] -> org.hibernate.type.BasicTypeReference@2e20ff78
